"V1","V2"
"E9.5_CPC_p2_099",36.2368070697923,25.867964090567
"E9.5_CPC_p2_002",26.5024327974355,18.1274409596163
"E9.5_CPC_p2_378",30.9541757804549,28.0675777688188
"E9.5_CPC_p2_243",39.5287564198631,16.7435672858031
"E9.5_CPC_p2_193",36.3069338123622,24.9029530266612
"E9.5_CPC_p2_135",-17.2406636449951,-34.3553451484648
"E9.5_CPC_p2_368",-13.2086187215495,-40.1514160530841
"E9.5_CPC_p2_167",-36.8990867332317,14.7423028438952
"E9.5_CPC_p2_171",26.8612744108928,17.6894393722447
"E9.5_CPC_p2_207",-35.7870569155784,-15.4056207018678
"E9.5_CPC_p2_212",35.4910521026927,0.144565579479423
"E9.5_CPC_p2_058",-26.1736259061413,-23.2286175195451
"E9.5_CPC_p2_310",-27.1206258795426,-30.3886516289806
"E9.5_CPC_p2_341",-41.5704745376497,-2.55795465741963
"E9.5_CPC_p2_107",-39.329261347379,-8.58899383097788
"E9.5_CPC_p2_239",2.40110690713599,43.5575951051846
"E9.5_CPC_p2_019",13.0074572171527,15.1959284227286
"E9.5_CPC_p2_313",30.0237660989879,25.366286796303
"E9.5_CPC_p2_165",-30.9391151895721,-14.1487890108533
"E9.5_CPC_p2_287",-11.9346206196577,-42.6749369092369
"E9.5_CPC_p2_050",5.82074953793297,-18.0087045947496
"E9.5_CPC_p2_308",16.7188749384148,20.4509132249628
"E9.5_CPC_p2_130",-37.4888682823969,16.299056730504
"E9.5_CPC_p2_185",-13.6823524306376,-44.0638538662934
"E9.5_CPC_p2_134",14.600622529686,35.5487894542815
"E9.5_CPC_p2_078",-43.7535472189761,13.1581888072874
"E9.5_CPC_p2_336",-42.0900044904489,-4.68802329755754
"E9.5_CPC_p2_367",-25.9308528660959,-23.4792211826339
"E9.5_CPC_p2_317",-42.4257036476402,-6.33105429800516
"E9.5_CPC_p2_339",29.9880641300161,28.3582706760916
"E9.5_CPC_p2_371",-36.071238999502,13.8070210061351
"E9.5_CPC_p2_040",29.7382258269067,24.0492267219066
"E9.5_CPC_p2_088",-42.6910772281165,13.8932438501307
"E9.5_CPC_p2_085",23.12970347469,14.9183408627539
"E9.5_CPC_p2_007",28.5390272781881,27.0899770758167
"E9.5_CPC_p2_175",48.7589095117113,7.66834080631525
"E9.5_CPC_p2_369",-36.130504618298,10.0718210440523
"E9.5_CPC_p2_032",-25.0888443273085,-31.1530978286493
"E9.5_CPC_p2_213",20.3031732816138,21.8850850281003
"E9.5_CPC_p2_066",-38.0862490047503,15.8927294813688
"E9.5_CPC_p2_169",-32.0751684336252,-17.4624829152892
"E9.5_CPC_p2_151",-23.3702712832295,-29.9684690225176
"E9.5_CPC_p2_028",-36.3316333838057,-10.6897644448921
"E9.5_CPC_p2_125",-31.9456774644579,18.9490948550968
"E9.5_CPC_p2_294",-32.485177063878,-10.3197178239032
"E9.5_CPC_p2_128",-31.2642770519403,20.1767209019651
"E9.5_CPC_p2_145",28.7449240486416,29.2105180263188
"E9.5_CPC_p2_057",-41.1034768535495,13.6554865587531
"E9.5_CPC_p2_024",-40.7830529843294,12.0411053278032
"E9.5_CPC_p2_375",41.7183313262573,16.3074560304754
"E9.5_CPC_p2_220",-28.1997726439651,-22.2725009024371
"E9.5_CPC_p2_380",27.4422072857417,27.2491290912162
"E9.5_CPC_p2_006",-39.9609889975127,-15.8895691418197
"E9.5_CPC_p2_005",-33.8894123772582,15.3049479083642
"E9.5_CPC_p2_302",-34.7001022127501,-5.39998219987281
"E9.5_CPC_p2_225",6.18462029668618,-19.2004941222953
"E9.5_CPC_p2_053",17.825175425778,19.6832043382991
"E9.5_CPC_p2_222",-36.4894030297977,-14.7406935527568
"E9.5_CPC_p2_198",12.2754784967195,14.8942154438495
"E9.5_CPC_p2_219",-16.8793353026319,-33.6751725814388
"E9.5_CPC_p2_033",12.0693354154748,36.4656905343294
"E9.5_CPC_p2_075",-12.5447672634205,-44.6525743366305
"E9.5_CPC_p2_126",-37.5766784343566,16.2245737432701
"E9.5_CPC_p2_249",-37.3224284715446,12.5564644528274
"E9.5_CPC_p2_352",-25.03763775984,-19.9600313433232
"E9.5_CPC_p2_055",-17.4881185443244,-35.8784178105795
"E9.5_CPC_p2_329",15.0305593040611,37.1725384287628
"E9.5_CPC_p2_097",35.424041262687,20.592472213604
"E9.5_CPC_p2_279",35.8406344979692,19.0458031723893
"E9.5_CPC_p2_124",47.2705810074456,13.776636817824
"E9.5_CPC_p2_266",10.2830362087629,-15.7049721840456
"E9.5_CPC_p2_003",36.4199757855709,25.276182245581
"E9.5_CPC_p2_106",-12.8116592754667,-42.4760217301135
"E9.5_CPC_p2_364",-34.1991741869004,18.3538291268716
